knowcode,description
11102,행정부고위공무원
11201,기업 고위임원
12101,정부행정 관리자
12201,경영지원 관리자
12301,마케팅·광고·홍보 관리자(부서장)
12401,금융관리자
12402,보험관리자
13101,연구 관리자
13201,유치원원장 및 원감
13202,초등학교교장 및 교감
13203,중고등학교교장 및 교감
13204,대학교총장 및 대학학장
13305,경찰·소방·교도 관리자
13401,보건·의료 관리자
13501,사회복지 관리자
13601,예술·디자인·방송 관리자
13701,정보통신 관리자
14103,여행∙호텔 관리자
14201,음식서비스 관리자
14301,환경청소경비관련관리자
15201,운송 관리자
16201,전기·가스·수도 관리자
16301,제품 생산관련관리자
21001,정부·공공 행정 전문가
22103,경영·진단 전문가
22201,노무사
23101,회계사
23201,세무사
23301,관세사
23401,감정평가사
24203,조사전문가
24301,상품 기획자
24101,광고·홍보·마케팅 전문가
24402,공연·영화 및 음반 기획자
24404,행사기획자
25101,조세행정 사무원
25201,관세행정 사무원
25301,병무행정 사무원
25401,일반행정공무원
25402,법원공무원
26101,경영 기획 사무원
26102,광고·홍보·마케팅 사무원
26103,영업 기획·관리·지원 사무원
26201,인사·교육·훈련 사무원
26301,총무사무원
26401,감사 사무원
27101,회계사무원
27201,경리사무원
28101,무역사무원
22202,인적자원전문가(전직지원전문가포함)
28201,도로 운송 사무원(배차사무 포함)
28202,철도·지하철 운송 사무원
28203,항공 운송 사무원
28204,수상 운송 사무원(해상 운송)
28301,자재·구매사무원
28302,물류 사무원(물류 관리사)
28401,생산관리사무원
28402,품질관리사무원
29101,안내 및 접수사무원
29201,고객상담원
29202,의료코디네이터
29303,통계 사무원
29401,비서
29501,사무보조원
29901,출판·자료 편집 사무원
29902,속기사
29903,행정사·문서대행자
29904,취업 알선원(직업소개소)
31101,투자분석가
31102,신용분석가
31201,자산운용가(펀드매니저)
31301,보험계리사
31302,금융상품개발원
31401,증권중개인
31501,손해사정사
32101,은행 사무원(출납창구 제외)
32201,증권 사무원(출납창구 제외)
32301,보험인수심사원
32302,보험사무원
32401,출납창구사무원
32501,신용 추심원(채권 관리원)
33201,보험 대리인 및 중개인
33202,보험 모집인(보험설계사·FC)
110101,철학연구원
110102,역사학연구원
110103,언어학연구원
110104,교육학연구원
110105,심리학연구원
110201,정치학연구원
110202,경제학연구원
110203,사회학연구원
121101,물리학연구원
121102,화학연구원
121103,수학 및 통계연구원
121104,생물학연구원
121105,지질학연구원
121106,천문 및 기상학연구원
121201,자연과학 시험원
122101,의학연구원
122102,약학연구원
122103,농학연구원
122104,수산학연구원
122105,임학 및 산림학 연구원
122106,축산학 및 수의학 연구원
122201,생명과학 시험원
122301,농림어업 시험원
131101,컴퓨터 하드웨어 기술자 
131201,통신기기·장비 기술자
131202,통신기술 개발자 
131203,통신망 운영 기술자
132002,컴퓨터시스템 설계 및 분석가
132004,정보통신컨설턴트 및 감리원
133101,시스템 소프트웨어 개발자(프로그래머)
133201,응용소프트웨어개발자
133202,가상(증강)현실전문가
133204,게임프로그래머
133205,모바일앱개발자
133301,웹프로그래머
133302,웹 기획자
133901,IT 테스터 및 IT QA 전문가
134101,데이터베이스개발자
134102,빅데이터분석가
134201,네트워크 시스템 개발자(네트워크 엔지니어)
134301,정보시스템 운영자
134302,네트워크 관리자(클라우딩컴퓨터운영관리자)
134303,IT 기술지원 전문가
134401,웹 마스터(운영자)
135001,정보보안전문가
136001,통신장비기사
136002,방송송출장비기사
140101,건축가(건축설계사)
140201,건축구조 기술자
140204,건축설비 기술자
140205,건축감리 기술자
140206,건축안전·환경·품질·에너지관리 기술자
140207,건축시공 기술자 및 견적원
140301,토목구조 설계 기술자
140304,토목감리 기술자
140305,토목안전·환경·품질 기술자
140306,토목시공기술자 및 견적원
151101,건설기계공학 기술자 및 연구원
140401,조경 기술자
140501,도시 계획·설계가
140502,교통계획·설계가
140503,교통영향평가원
140601,지적 및 측량기술자
140602,지리정보시스템전문가
140701,건설자재 시험원
151102,플랜트기계공학기술자
151105,항공공학기술자
151107,자동차공학기술자
151108,조선・해양공학기술자
151201,로봇공학기술자
151301,기계시험원
152101,재료(금속)공학기술자
152201,금속·재료공학 시험원
153101,전기기기·제품 개발 기술자 및 연구원
153102,"전기계측 제어 기술자(전기패널, 계장, 공정자동화전기 등)"
153103,발전설비 기술자
153104,송·배전설비 기술자
153105,전기감리 기술자
153106,전기안전 기술자
153201,전자제품 및 부품 개발기술자
