Feature,Value
bq36,0.008805580676036654
bq41_2,0.008711036199152295
bq3,0.008505337168176991
bq7,0.008416749514175786
cq15,0.008412663118096514
cq49,0.008408334307051115
bq41_1,0.008368384015377471
cq46,0.008251406479873815
bq40,0.008209225810132023
cq10,0.00803033200297648
cq29,0.008010627013029587
cq44,0.007998138139384528
iq3,0.007966656845962258
bq20,0.00795394874249067
cq5,0.00795192701331712
bq6,0.007944425453290245
cq30,0.007943183934678586
cq40,0.007912272288514748
cq34,0.007864954412186083
cq32,0.00784693106038225
cq42,0.007825428983414989
iq4,0.007822293948998107
cq2,0.007779097961739114
cq18,0.00777340206739147
cq4,0.007740887380635553
cq8,0.007658347743827145
cq13,0.007651193058419131
cq11,0.007638010425771379
cq37,0.007628139218233178
cq36,0.00761642970764507
iq1,0.007609741114928439
cq38,0.007596746456616248
iq2,0.007578357581447808
cq12,0.007532075233910249
cq45,0.007531099379362709
cq41,0.0075200137655522725
cq43,0.007501726233337249
iq6,0.007496835443108119
cq7,0.007484701048148618
cq3,0.00746802707826312
cq9,0.007423206012220316
cq39,0.007401604628136658
bq37,0.007337187926342181
iq5,0.007336154420053892
bq8_3,0.007318415442467193
bq28,0.007298535760122941
cq6,0.007283204715246248
bq11,0.0072724773670001215
bq34,0.0072377886332751695
cq33,0.007214380902069503
cq17,0.0072043939840004696
bq21,0.007195389805143457
bq8_2,0.007177229812070665
bq5_1,0.007058113494684136
cq35,0.007017020076112875
bq12_1,0.006875188641420076
cq19,0.0068609403029921065
cq16,0.00684431353204048
bq10,0.006778558006761338
cq1,0.0067500578509886375
cq31,0.006736353454964281
bq8_1,0.006722342115555467
bq9,0.0066497814215982515
bq12_5,0.006445367369890159
bq19,0.006398849034932768
bq4,0.006395991694119896
cq28,0.006325823190933691
bq12_4,0.006265233442826354
cq21,0.006193206958554027
able_job_0,0.006154461285590632
bq12_2,0.006153324215673361
bef_job_0,0.006118005283446363
bq12_3,0.006113019009124302
bq5,0.005890630305966956
ubda_cnt,0.005837361941099638
bq16,0.0057920961611858945
bq35,0.005781164328180163
cq22,0.005691194447590475
sim_job_0,0.005647584458237172
cq14,0.005547822991000898
cq27,0.005238036858296419
cq20,0.005133938944009817
bq24_1,0.005050179321877395
bq13_1,0.004993004697674561
cq26,0.004889571735389101
bq2_1,0.004834774157395129
bq25_1,0.0048216592140782975
cq23,0.004726857511896903
cq24,0.004438709099146716
bq6_mark_0,0.004380908195237898
cq50_2,0.004358771293599454
able_job_없음,0.004308207238127483
bq27,0.004292693801227364
cq50_3,0.004249471375413229
bef_job_없음,0.004215632252139187
bq26_4a,0.004174659164993229
bq15_1,0.0040580016129645145
bq17_1,0.003952214417881222
bq13_3,0.003905379368192208
cq50_1,0.0038936034439954687
bq24_2,0.0037967868098760468
bq13_2,0.003774195560029681
컴퓨터_0,0.003722775744650534
bq26_3a,0.0034802888634169553
bq38_1_1,0.003479875239074605
bq14,0.0034088840586644974
bq26_4_1.0,0.0033452220553456757
bq1_3,0.0033367983498758277
bq17_3,0.0033186829439054034
cq25,0.0032423760312842546
cq48,0.0031924486021632213
bq24_5,0.0031711280028277953
bq23_1.0,0.0031291256425872126
bq2_2,0.003061045253553819
bq1_13,0.0030379697923410562
bq18,0.002851862946584528
bq22_1.0,0.00285008489042374
cq47,0.002780353099969687
bq26_1_1.0,0.0027708948250845526
bq26_2a,0.002760518356147419
cq50_4,0.002742905894702357
bq2_4,0.0027393103452890153
bq1_18,0.0027154625227385288
bq26_3_1.0,0.0026984152142381966
bq1_10,0.00256234709304757
bq26_4_2.0,0.0025270302832114265
bq38_1_3,0.0025070268439289123
